A_0,η_0,A_1,η_1,skill_factor,success,labor_efficiency,Y_0,L_0,error_type
1.0,1.0,0.75,0.7,0.5,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.7,1.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.7,2.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.7,3.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.7,4.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.7,5.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.8,0.5,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.8,1.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.8,2.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.8,3.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.8,4.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.8,5.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.9,0.5,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.9,1.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.9,2.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.9,3.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.9,4.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.9,5.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.95,0.5,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.95,1.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.95,2.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.95,3.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.95,4.0,false,NaN,NaN,NaN,infeasible
1.0,1.0,0.75,0.95,5.0,false,NaN,NaN,NaN,infeasible
